,cv,npmi,uci,umass,diversity,result_num_topic,nr_topics,min_topic_size,embedding_model,UMAP_PARAMS,representation_model,n_gram_range,norm_score
89,0.6480980107108693,0.38677942478635824,0.5703826550072962,-2.1039943906236473,0.2737373737373737,99,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 3]",0.5974717175011409
73,0.6439276152333611,0.3640105898021964,0.5691550927658372,-1.9902774534863812,0.2868686868686869,99,100,20,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 3]",0.597102605627663
45,0.613888566831084,0.3141914753725676,0.6944037542974599,-1.9451747423898365,0.37755102040816324,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 3]",0.5943753822119261
36,0.6305233282991461,0.34798389914368927,0.4532578351160026,-2.0576570646585712,0.3795918367346939,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 2]",0.5928135502393432
12,0.6371731849684796,0.34570437906911033,0.5455405328236081,-2.1213735305757244,0.35714285714285715,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 2]",0.5920539351544536
68,0.6505157117963292,0.38196946442163,0.44627283319130034,-2.265447761728129,0.3,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 2]",0.583189885344233
5,0.6303243914655036,0.3524773739277516,0.5455146800654771,-2.191039848828872,0.3408163265306122,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 3]",0.5822878911382141
41,0.6315352314461288,0.35786334848706647,0.36125067332891875,-2.12606482587129,0.363265306122449,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 3]",0.5822527281294689
1,0.6399594660523613,0.340758622149427,0.41517076616542475,-2.110093541410378,0.34285714285714286,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 3]",0.5799148806330414
84,0.6401381376420572,0.3568446215187883,0.3817474057528744,-2.0699998024856145,0.30104166666666665,96,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 2]",0.5769809651356294
16,0.6242606652612258,0.3220509553557898,0.46057793756491516,-2.124575205829529,0.38571428571428573,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 2]",0.5762910680090132
81,0.6311095237287135,0.3343455002853392,0.5143611222347444,-2.0143585662914645,0.295959595959596,99,100,20,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 3]",0.5749497629560707
99,0.5728933237109946,0.2872142030269207,0.7051710446507097,-1.3090522448290862,0.22040816326530613,49,50,20,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_roberta_base_drug_submissions,,KeyBERT,"[1, 3]",0.5692390259326983
100,0.5876599263300936,0.31532834517708597,0.7260076594146796,-1.5349841366305954,0.1919191919191919,99,100,10,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_roberta_base_drug_submissions,,KeyBERT,"[1, 2]",0.5672965153546684
96,0.5805566163675987,0.33065968417314157,0.7141657582559517,-1.6905232062189166,0.23061224489795917,49,50,10,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_roberta_base_drug_submissions,,KeyBERT,"[1, 2]",0.5671287834124551
88,0.6347858864127739,0.36496127650873045,0.3587668805304573,-2.30974488060937,0.28585858585858587,99,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 2]",0.5553141586630111
92,0.6228609524919205,0.322256418035536,0.3499713713853304,-2.0895861658296084,0.30808080808080807,99,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 2]",0.5518635213917283
72,0.623504562866395,0.32571890133429315,0.24890551605109812,-2.1962444133860832,0.29292929292929293,99,100,20,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 2]",0.535495962637759
40,0.6057309281310771,0.31592614369349564,0.07496206427289899,-2.2666498544037066,0.37551020408163266,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 2]",0.524693389320998
97,0.6022367013902592,0.39763779399074695,0.3688306792859004,-3.308180643929475,0.45,6,50,10,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_roberta_base_drug_submissions,,KeyBERT,"[1, 3]",0.5207261739992598
44,0.581061468225956,0.2564718939722313,0.292642999757561,-2.2333752014695767,0.4,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 2]",0.5107631790748497
56,0.6186218856847899,0.3251909258118937,0.08601010519066074,-2.3768380948607954,0.2909090909090909,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 2]",0.5082057453742321
20,0.6146373070802539,0.30581353306927606,-0.0023111730403550805,-2.499182811151026,0.39183673469387753,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 2]",0.5076727158352627
103,0.5376125460414625,0.23114487549415294,0.575087990694268,-1.3892192846571996,0.19041095890410958,73,100,20,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_roberta_base_drug_submissions,,KeyBERT,"[1, 3]",0.5058622579470213
48,0.6162407719214752,0.31755404193805553,0.08239339037623711,-2.5890283918684984,0.30808080808080807,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 2]",0.49281852866094267
52,0.6181419758831808,0.32989854815556374,0.18360720042623782,-2.789967989475343,0.30505050505050507,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 2]",0.4909997165282275
112,0.5635734909175512,0.21233664999230278,0.29896096710113357,-2.190708523012324,0.4152542372881356,59,100,50,all-MiniLM-L12-v2,,KeyBERT,"[1, 3]",0.4906666804440195
8,0.6069151861302369,0.27998047316967983,0.016627678005474166,-2.6022168543974566,0.39183673469387753,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 2]",0.4872118462801006
80,0.603182176844788,0.29002842211985685,0.032304082932059885,-2.371610612469734,0.3090909090909091,99,100,20,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 2]",0.4867317857296268
33,0.5684624381411694,0.2385018803119729,-0.057968355090544016,-2.0893829319909316,0.3877551020408163,49,50,20,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 3]",0.47961606179104005
14,0.5368276190467832,0.21241748169710406,0.01701378333905034,-1.9284395502014586,0.373469387755102,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 2]",0.46513144330758555
109,0.5053461568464481,0.18936052679336673,0.17311144157708006,-1.9541002719252027,0.43333333333333335,30,50,50,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_all_MiniLM-v12-v2-drug-submissions,,KeyBERT,"[1, 3]",0.4621882372232731
0,0.5928640291159738,0.26740741140888014,-0.08435627158550807,-2.763453703102058,0.3795918367346939,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 2]",0.4533397205257108
111,0.5656683344836189,0.21582545179351242,-0.021746826980100678,-2.44226742728096,0.396969696969697,66,100,50,all-MiniLM-L12-v2,,KeyBERT,"[1, 2]",0.4489565166696501
115,0.4876812384488204,0.18258901235301545,0.22827434693564094,-1.9866489075729228,0.40344827586206894,29,100,50,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_all_MiniLM-v12-v2-drug-submissions,,KeyBERT,"[1, 3]",0.4443319597401483
32,0.5548676939190895,0.21875041558797603,-0.2759670921063296,-2.30865814450393,0.40408163265306124,49,50,20,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",KeyBERT,"[1, 2]",0.4377492488930357
105,0.5565004806979936,0.1921348907185274,-0.09419143078514403,-2.4822841950669017,0.44285714285714284,49,50,50,all-MiniLM-L12-v2,,KeyBERT,"[1, 2]",0.4376217912878232
106,0.5456331139608916,0.17656752403943293,0.002776587451946535,-2.420917566414147,0.44081632653061226,49,50,50,all-MiniLM-L12-v2,,KeyBERT,"[1, 3]",0.4360391627602297
25,0.553649954881177,0.22032144126839517,-0.22859775976349134,-2.399955616546534,0.4020408163265306,49,50,20,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 3]",0.4341142852893065
22,0.5207822443292253,0.21829030287426637,-0.003558663647084466,-2.2720992030833256,0.35918367346938773,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 2]",0.42988104414887146
71,0.5322846143536442,0.21345296174349807,-0.07357354180920293,-2.2751586264017747,0.3595959595959596,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 3]",0.4291801840362595
70,0.5501019773735067,0.24201129320678366,-0.18548178991899567,-2.4722249470717683,0.35454545454545455,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 2]",0.4274854385308213
4,0.5792573327372802,0.26492224520120844,-0.2112245570451841,-2.9661411246737037,0.39387755102040817,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 8}",KeyBERT,"[1, 2]",0.4253943377538037
15,0.5008567882105921,0.1808835755113901,-0.1694754661073247,-1.8907946940420584,0.3816326530612245,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 3]",0.4247057871011252
18,0.5163331435363815,0.18421285262173712,-0.09671467029673776,-2.1296998204479305,0.38979591836734695,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 2]",0.4246345451234129
114,0.4779619324975681,0.15791075235141253,-0.0055280540822264,-2.031658500959117,0.4633333333333333,30,100,50,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_all_MiniLM-v12-v2-drug-submissions,,KeyBERT,"[1, 2]",0.42411148282305244
63,0.5149673638065003,0.20436056456971166,-0.12483308126369724,-2.0493801814006414,0.3373737373737374,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 3]",0.42315418999542853
67,0.5205516855766986,0.20633752764297245,-0.1649786234713339,-2.0818666185868264,0.3373737373737374,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 3]",0.4219022883952544
62,0.5328315094060441,0.2291023685805709,-0.20208536206969577,-2.4087702684630807,0.3595959595959596,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 2]",0.41748112641564933
66,0.5350297604151026,0.2236087440358983,-0.2331872839308354,-2.3755716437943595,0.3515151515151515,99,100,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 2]",0.4147045932032003
24,0.5485981841662748,0.1994329452829527,-0.4119594043036758,-2.5374177737611294,0.4204081632653061,49,50,20,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",KeyBERT,"[1, 2]",0.40503115539957674
19,0.49169742484513457,0.16529479450472517,-0.24744596296523752,-1.9597647341635287,0.3836734693877551,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 3]",0.40374336757756824
23,0.49152490118723646,0.1695963142622826,-0.10734674028095206,-2.0862290704046687,0.37142857142857144,49,50,10,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 3]",0.4032929184929289
108,0.4893163342814811,0.1471955106756037,-0.3017073732488749,-2.6088585887805404,0.47419354838709676,31,50,50,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_all_MiniLM-v12-v2-drug-submissions,,KeyBERT,"[1, 2]",0.3675144149635171
2,0.4379451753214053,0.10542181596572887,-0.21074037986431726,-2.104441284863283,0.39387755102040817,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 2]",0.3455015841856489
3,0.4444387144816977,0.11838531568351095,-0.19664620780925146,-2.152034660695143,0.35714285714285715,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 3]",0.34307953027506255
95,0.4558546282725482,0.09817982868221364,-0.37829667932500627,-2.0634985509572115,0.3515151515151515,99,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 3]",0.33340399954830413
46,0.442235535900932,0.08258931201149411,-0.4627223786984691,-2.1130387532056107,0.42653061224489797,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 2]",0.3283775929111049
47,0.42379098933370535,0.07374256922321433,-0.3148739670763068,-2.083287208637369,0.4061224489795918,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 3]",0.3223248099249135
39,0.4275545729848065,0.06369670376857159,-0.4410310649608211,-2.0770545512929965,0.42653061224489797,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 3]",0.31688927469679457
59,0.4456881862623756,0.114487986163592,-0.4456913461488306,-2.2707270320424535,0.3565656565656566,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 3]",0.31646286004436813
38,0.4369216271201788,0.07741433480022819,-0.5262506572434295,-2.2244952801240254,0.44285714285714284,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 2]",0.3151072370805064
87,0.45256961996834305,0.09391577323482551,-0.5044270729819886,-2.267041496641189,0.38125,96,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 3]",0.3139987865843069
90,0.47375285517283405,0.12285997766847995,-0.6414194075752578,-2.542123736822051,0.39595959595959596,99,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 2]",0.3117848302200139
7,0.42711266729064523,0.08965936976369904,-0.37703920509219796,-2.2772438413078038,0.39387755102040817,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 3]",0.3096725626968572
86,0.4659529785718172,0.11246297654303254,-0.6669610149862301,-2.454505480809508,0.4,96,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 2]",0.30873775144150845
42,0.4326249632647157,0.07243470897369184,-0.5833053094336487,-2.3750829961859488,0.4530612244897959,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 2]",0.298706102102162
51,0.44678862375386813,0.10928720175327945,-0.5923013722205671,-2.4731987719178363,0.38585858585858585,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 3]",0.29759959624593324
91,0.44548282564537967,0.09233810676107315,-0.593879306588251,-2.431493601390774,0.3878787878787879,99,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 3]",0.2933853631770324
43,0.4233869521413627,0.061643854065638236,-0.5639369591735349,-2.2756209271599883,0.4346938775510204,49,50,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 3]",0.29331600426395027
6,0.42201909054441694,0.08278312452969216,-0.5530814976464749,-2.4089085741515803,0.42448979591836733,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 2]",0.2900336119119136
11,0.408322216452214,0.06810533230101057,-0.5842980666203642,-2.201157463056246,0.4204081632653061,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 3]",0.288176573092787
94,0.45859455893118506,0.10123078231200767,-0.739540869568857,-2.520658654957411,0.3797979797979798,99,100,20,paraphrase-multilingual-MiniLM-L12-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 2]",0.28575641077433345
50,0.44849047560986177,0.1121444069887741,-0.774683667869158,-2.686743007928734,0.4070707070707071,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 2]",0.27711142298655045
55,0.4398486907534091,0.10012277090312098,-0.6722115916741331,-2.5645543979910466,0.3787878787878788,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 3]",0.27653509791062314
107,0.45066170320692883,-0.0024832341180442276,-0.9796683116956045,-2.8262411948883885,0.6741935483870968,31,50,50,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_all_MiniLM-v12-v2-drug-submissions,,KeyBERT,"[1, 1]",0.2720491097214165
27,0.385541464537792,0.012769181297252883,-0.5841841646067869,-2.122588830530118,0.45918367346938777,49,50,20,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 3]",0.26842933953511167
35,0.3793053355142201,0.018511692929103006,-0.4567529308766296,-2.0951884723200154,0.4142857142857143,49,50,20,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 3]",0.2673996324871462
113,0.4446030739538868,-0.013677894055225,-1.2948736375555192,-2.736176596232773,0.7214285714285714,28,100,50,/home/kw215/Documents/research_codes/Topic-modeling-evaluations/evaluation/tsdae_all_MiniLM-v12-v2-drug-submissions,,KeyBERT,"[1, 1]",0.2600326628785262
58,0.4456526068461342,0.11225558135216633,-0.8032783055649151,-2.8485830750387806,0.3898989898989899,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 2]",0.2581876371415887
10,0.4043116564397234,0.06407796764014635,-0.6980585676854675,-2.53548519464279,0.42448979591836733,49,50,10,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 2]",0.2540307275675861
54,0.443816697904987,0.09729317880251011,-0.9639936828442501,-2.772804766046316,0.4202020202020202,99,100,10,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 8}",MMR,"[1, 2]",0.25260006327406803
34,0.3765007399197898,0.020122349151071105,-0.5295504618516473,-2.394232516599362,0.4530612244897959,49,50,20,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 2]",0.2497702628035357
110,0.5125127144736961,0.013356056964349338,-1.210350594565727,-3.690602978499092,0.6466666666666666,60,100,50,all-MiniLM-L12-v2,,KeyBERT,"[1, 1]",0.22861341294865795
26,0.37461473589028615,0.00032690583385226025,-0.7880152814767186,-2.374277718390794,0.45714285714285713,49,50,20,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 2]",0.22526041158591506
75,0.39991084537377114,0.0371455769284106,-0.8671956693852582,-2.5591250320357792,0.41515151515151516,99,100,20,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 3]",0.22522457053362946
83,0.38585207608485345,0.03621084992200317,-0.7228388199924245,-2.5200190388134645,0.3929292929292929,99,100,20,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 3]",0.22469892251248008
104,0.49285135698231625,0.0043688617144173394,-1.2835448534440133,-3.6789877063832757,0.7061224489795919,49,50,50,all-MiniLM-L12-v2,,KeyBERT,"[1, 1]",0.22432860473250787
74,0.40318270574948556,0.04086727377463453,-1.127454794956889,-2.739957977264231,0.4222222222222222,99,100,20,all-mpnet-base-v2,"{'n_neighbors': 10, 'n_components': 15}",MMR,"[1, 2]",0.19945058181267103
82,0.3928649682948052,0.03634438161604413,-1.028083287979103,-2.801168007573437,0.4212121212121212,99,100,20,all-mpnet-base-v2,"{'n_neighbors': 5, 'n_components': 8}",MMR,"[1, 2]",0.1944151794548117
